run,chi2
661,16.0689
662,17.3881
663,18.2947
664,12.1099
665,9.82362
666,10.04
667,20.4877
668,19.8713
669,16.3374
670,25.7898
671,17.0798
672,14.4607
673,26.3698
674,19.4812
675,30.2728
676,33.7047
677,27.6028
678,11.241
679,16.6294
680,12.2879
681,26.5002
682,21.7225
683,11.5219
684,7.85073
685,24.6484
686,18.2946
687,17.3809
688,12.2506
689,19.3411
690,12.2049
691,19.8138
692,13.1905
693,15.2541
694,8.26539
695,17.9117
696,15.4852
697,16.3692
698,20.1657
699,17.2446
700,23.1365
701,18.7431
702,20.9636
703,12.6956
704,11.5654
705,16.0852
706,10.3764
707,8.73809
708,16.3436
709,35.0609
710,12.6591
711,14.2837
712,29.4585
713,18.7551
714,13.5378
715,17.5982
716,11.2707
717,10.4381
718,17.5412
719,20.1608
720,10.4984
721,14.4575
722,15.1609
723,18.3507
724,14.3803
725,18.5589
726,23.8866
727,19.1968
728,18.3375
729,30.198
730,22.1764
731,24.5433
732,11.5418
733,18.9355
734,22.448
735,20.0047
736,11.7454
737,15.5563
738,30.7209
739,8.3817
740,7.23044
741,28.571
742,11.296
743,16.1763
744,22.9992
745,8.44186
746,30.0367
747,9.52917
748,25.1479
749,10.7403
750,13.7219
751,12.9031
752,11.0864
753,21.8405
754,7.61387
755,18.2807
756,23.1969
757,17.3266
758,37.6819
759,19.6799
760,13.119
761,14.9317
762,10.45
763,10.09
764,15.8405
765,14.0176
766,18.3015
767,13.7032
768,20.7035
769,12.2314
770,13.9816
771,8.72344
772,11.0008
773,15.6385
774,17.9921
775,14.326
776,8.63533
777,13.0796
778,11.9677
779,19.5075
780,25.2069
781,10.3374
782,9.25171
783,7.74111
784,24.0778
785,10.6221
786,7.89625
787,7.95736
788,8.53291
789,19.8956
790,21.9391
791,20.1383
792,23.4881
793,16.5251
794,17.7382
795,24.5915
796,17.7637
797,29.1995
798,7.287
799,22.73
800,18.4626
801,30.5292
802,19.266
803,8.71784
804,17.7149
805,19.3107
806,19.9045
807,6.41986
808,17.3475
809,15.608
810,14.3951
811,17.9253
812,15.09
813,9.63528
814,19.5113
815,19.3281
816,13.4428
817,9.16406
818,8.31648
819,26.7854
820,15.4456
821,18.0132
822,15.3568
823,11.0767
824,14.0974
825,10.0583
826,14.3511
827,11.4063
828,11.4293
829,20.4183
830,18.5812
831,17.487
832,20.1592
833,11.4311
834,16.688
835,12.6642
836,8.82797
837,11.8852
838,19.6408
839,15.586
840,14.8933
841,28.3032
842,14.0972
843,11.6394
844,8.09186
845,16.5425
846,21.0821
847,14.317
848,21.1237
849,15.7091
850,19.3039
851,19.1465
852,15.3872
853,8.87198
854,13.866
855,14.2374
856,34.0205
857,23.8983
858,18.9078
859,12.1375
860,14.6627
861,18.0212
862,29.9028
863,22.9611
864,21.6903
865,22.1008
866,14.7742
867,22.0217
868,10.0973
869,15.0085
870,5.27306
871,9.53248
872,11.7662
873,5.13449
874,10.2267
875,10.6093
876,8.17149
877,11.1592
878,18.7694
879,15.2605
880,24.2883
881,17.5031
882,26.1654
883,12.9235
884,18.7135
885,22.9464
886,33.7617
887,13.8922
888,8.83738
889,20.8517
890,13.5631
891,15.0153
892,14.8677
893,20.1252
894,11.4482
895,19.2836
896,14.579
897,11.9276
898,10.3917
899,13.4793
900,22.2582
901,22.3258
902,8.2269
903,12.4179
904,9.62219
905,27.0345
906,11.4934
907,21.8989
908,20.3069
909,13.9509
910,25.6844
911,24.6196
912,8.45602
913,21.3601
914,12.4541
915,12.2708
916,11.4568
917,6.5509
918,19.0625
919,17.5102
920,12.9307
921,25.1741
922,15.5171
923,17.8895
924,15.859
925,19.0255
926,15.2038
927,10.4565
928,20.2118
929,12.6045
930,17.5018
931,16.3479
932,13.171
933,9.22566
934,14.7116
935,12.4964
936,21.9126
937,24.9073
938,26.692
939,9.99168
940,17.8109
941,12.8432
942,18.9855
943,11.2441
944,18.0428
945,21.6805
946,9.93756
947,8.84269
948,21.8389
949,6.49341
950,14.2794
951,5.87648
952,19.4651
953,14.4699
954,11.401
955,11.119
956,9.67181
957,22.8895
958,18.2549
959,14.6761
960,4.00675
961,15.5984
962,7.79982
963,28.1522
964,14.0621
965,12.0767
966,17.1864
967,20.1577
968,18.3319
969,13.1853
970,12.6194
971,19.2763
972,18.2951
973,21.955
974,23.3023
975,18.4161
976,10.9778
977,17.3645
978,14.7434
979,12.8214
980,7.24079
981,15.6847
982,7.72183
983,9.11794
984,24.6105
985,15.0179
986,11.0029
987,13.7335
988,11.474
989,11.8442
990,24.0813
991,11.7231
992,6.65039
993,14.805
994,5.68835
995,15.1222
996,16.4276
997,18.4854
998,13.4772
999,18.452
