run,chi2
694,21.6776
695,35.3993
696,28.7426
697,47.5868
698,22.5273
699,33.8729
700,25.4846
701,29.4022
702,33.1417
703,34.3415
704,24.9268
705,29.2233
706,19.6684
707,32.1985
708,48.4581
709,23.2117
710,42.976
711,29.4716
712,35.6299
713,39.3018
714,29.6993
715,50.4882
716,51.1256
717,17.6192
718,50.9526
719,48.4321
720,41.3851
721,34.6096
722,20.1322
723,38.0484
724,44.6668
725,38.8618
726,24.2434
727,38.6776
728,24.8593
729,25.162
730,33.3024
731,26.4006
732,45.5677
733,26.5119
734,33.453
735,29.6646
736,32.423
737,25.8693
738,30.7054
739,33.6546
740,32.2568
741,33.2552
742,37.724
743,49.0095
744,23.0209
745,25.991
746,23.994
747,28.0851
748,18.3775
749,37.791
750,24.2301
751,24.9545
752,21.7645
753,17.7674
754,34.9511
755,35.715
756,24.692
757,19.498
758,17.3626
759,42.6895
760,34.1412
761,37.1044
762,22.9238
763,47.0881
764,22.3971
765,30.8761
766,37.2493
767,20.8562
768,44.9143
769,19.8183
770,38.6992
771,28.2667
772,41.4499
773,26.8766
774,31.8612
775,34.6837
776,33.4577
777,53.6772
778,24.1021
779,25.3348
780,44.7954
781,46.0787
782,31.8112
783,17.6038
784,33.5219
785,42.5866
786,48.3545
787,44.5239
788,31.8266
789,32.1896
790,36.4306
791,41.523
792,35.5733
793,25.673
794,40.5184
795,43.1362
796,56.4349
797,34.4021
798,30.3895
799,24.1783
800,37.9218
801,39.6024
802,35.9137
803,19.2364
804,40.8234
805,30.8832
806,39.0893
807,24.3554
808,21.0276
809,26.7821
810,35.1665
811,26.9147
812,40.5685
813,36.6141
814,26.6669
815,25.1363
816,42.3037
817,33.6813
818,21.7809
819,24.7145
820,26.0417
821,39.2693
822,22.5624
823,26.4581
824,46.2377
825,31.5586
826,26.4583
827,40.3782
828,29.1715
829,34.8947
830,27.1039
831,21.4091
832,41.8682
833,21.3692
834,24.6246
835,44.0656
836,35.9916
837,48.2023
838,32.3458
839,18.7113
840,58.31
841,27.3845
842,31.7045
843,34.833
844,30.5761
845,45.8111
846,38.8588
847,31.2622
848,36.3817
849,35.9987
850,32.9354
851,36.9111
852,21.4608
853,15.5671
854,45.8204
855,31.4724
856,37.8874
857,26.3848
858,36.2681
859,52.5959
860,31.1263
861,18.5147
862,41.2551
863,41.5366
864,40.1025
865,20.4551
866,25.6311
867,37.1775
868,31.5775
