num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
25250,195.965,390.165,-0.000177396,-0.00469227,0.00486966,196
25300,195.969,390.044,-0.000159902,-0.00500229,0.00516219,196
25350,195.972,389.845,-0.000140774,-0.00551206,0.00565284,196
25400,195.962,389.656,-0.000195246,-0.00599755,0.0061928,196
25450,195.954,389.673,-0.000235851,-0.0059538,0.00618965,196
25500,195.944,389.751,-0.000286847,-0.00575281,0.00603965,196
25550,195.935,389.912,-0.000333919,-0.00534034,0.00567425,196
25600,195.931,389.733,-0.000351063,-0.0057998,0.00615087,196
25650,195.937,389.844,-0.000322253,-0.00551565,0.0058379,196
25700,195.939,389.693,-0.000311663,-0.00590305,0.00621472,196
25750,195.938,389.637,-0.000316827,-0.00604653,0.00636336,196
25800,195.944,389.659,-0.000283518,-0.00599112,0.00627464,196
25850,195.95,389.84,-0.00025633,-0.00552529,0.00578162,196
25900,195.945,389.798,-0.000278146,-0.00563221,0.00591035,196
25950,195.946,389.697,-0.000277388,-0.00589156,0.00616895,196
26000,195.938,389.939,-0.000315106,-0.00527152,0.00558663,196
26050,195.935,390.165,-0.000332054,-0.00469288,0.00502493,196
26100,195.929,390.367,-0.000363303,-0.00417427,0.00453757,196
26150,195.931,390.273,-0.000354096,-0.00441504,0.00476914,196
26200,195.923,390.279,-0.00039122,-0.00440062,0.00479184,196
26250,195.936,390.293,-0.000325285,-0.00436419,0.00468948,196
26300,195.94,390.144,-0.000305888,-0.00474584,0.00505173,196
26350,195.948,389.997,-0.000263387,-0.00512287,0.00538626,196
26400,195.947,389.941,-0.000268756,-0.00526625,0.00553501,196
26450,195.947,389.837,-0.000271114,-0.00553385,0.00580497,196
26500,195.944,390.067,-0.000284865,-0.0049428,0.00522767,196
26550,195.941,390.013,-0.000303373,-0.00508147,0.00538484,196
26600,195.943,389.863,-0.000290979,-0.00546752,0.0057585,196
26650,195.944,389.84,-0.000288051,-0.00552546,0.00581351,196
26700,195.938,389.769,-0.000314248,-0.00570817,0.00602242,196
26750,195.928,389.97,-0.000366911,-0.00519122,0.00555813,196
26800,195.924,390.035,-0.000386623,-0.00502632,0.00541294,196
26850,195.932,389.914,-0.0003493,-0.00533661,0.00568591,196
26900,195.933,389.894,-0.000340259,-0.0053874,0.00572766,196
26950,195.932,390.01,-0.00034689,-0.00508886,0.00543575,196
27000,195.936,390.218,-0.000325074,-0.00455644,0.00488151,196
27050,195.933,390.351,-0.000340394,-0.00421627,0.00455667,196
27100,195.926,390.468,-0.000377466,-0.00391623,0.00429369,196
27150,195.925,390.808,-0.000383072,-0.00304604,0.00342911,196
27200,195.924,390.551,-0.000390271,-0.0037033,0.00409357,196
27250,195.926,390.779,-0.000376858,-0.00311925,0.00349611,196
27300,195.923,390.667,-0.000394451,-0.00340755,0.003802,196
27350,195.923,390.543,-0.000393641,-0.00372293,0.00411657,196
27400,195.923,390.455,-0.000395385,-0.00394806,0.00434344,196
27450,195.922,390.324,-0.0003958,-0.00428404,0.00467984,196
27500,195.919,390.297,-0.000414187,-0.00435497,0.00476916,196
27550,195.915,390.612,-0.000433682,-0.00354834,0.00398202,196
27600,195.919,390.39,-0.000415251,-0.00411477,0.00453002,196
27650,195.92,390.218,-0.000408156,-0.00455559,0.00496375,196
27700,195.922,390.126,-0.00039648,-0.00479189,0.00518837,196
27750,195.922,390.294,-0.000399885,-0.00436034,0.00476022,196
27800,195.923,390.624,-0.00039154,-0.00351678,0.00390833,196
27850,195.931,390.483,-0.000352873,-0.00387643,0.0042293,196
27900,195.926,390.507,-0.000377055,-0.00381657,0.00419362,196
27950,195.924,390.766,-0.000389134,-0.0031539,0.00354303,196
28000,195.93,390.709,-0.00035886,-0.00329916,0.00365802,196
28050,195.919,390.649,-0.000414102,-0.00345206,0.00386616,196
28100,195.915,390.488,-0.00043242,-0.00386417,0.00429659,196
