num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
28700,36.0372,71.7676,0.00103144,-0.00323276,0.0042642,36
28750,36.0374,71.7684,0.00103893,-0.0032225,0.00426142,36
28800,36.0407,71.7269,0.00112854,-0.00380006,0.00492859,36
28850,36.0409,71.7385,0.00113534,-0.00363845,0.0047738,36
28900,36.0408,71.723,0.00113239,-0.00385422,0.00498661,36
28950,36.0423,71.7119,0.00117366,-0.00400876,0.00518242,36
29000,36.0414,71.7531,0.00115001,-0.00343496,0.00458497,36
29050,36.0418,71.7637,0.00116001,-0.00328666,0.00444667,36
29100,36.0376,71.7526,0.00104487,-0.00344244,0.00448732,36
29150,36.0386,71.714,0.00107149,-0.0039806,0.00505209,36
29200,36.0374,71.7223,0.00103716,-0.00386496,0.00490211,36
29250,36.0363,71.7636,0.00100756,-0.00328868,0.00429624,36
29300,36.0393,71.776,0.00109052,-0.00311638,0.0042069,36
29350,36.0392,71.777,0.00108876,-0.00310265,0.00419141,36
29400,36.0387,71.7619,0.00107491,-0.00331208,0.00438699,36
29450,36.0372,71.7537,0.00103324,-0.00342643,0.00445968,36
29500,36.0357,71.7494,0.000990793,-0.00348673,0.00447752,36
29550,36.034,71.7594,0.000944101,-0.00334712,0.00429123,36
29600,36.034,71.752,0.000944404,-0.00345088,0.00439528,36
29650,36.0336,71.7429,0.000933215,-0.00357666,0.00450988,36
29700,36.0317,71.7406,0.000881194,-0.00360917,0.00449036,36
29750,36.0315,71.7259,0.000874763,-0.00381381,0.00468857,36
29800,36.0336,71.7355,0.000933065,-0.00368098,0.00461404,36
29850,36.0347,71.7593,0.00096316,-0.00334915,0.00431231,36
29900,36.0353,71.7507,0.000978708,-0.00346867,0.00444738,36
29950,36.0368,71.7154,0.00102192,-0.0039609,0.00498282,36
30000,36.0371,71.8127,0.00102943,-0.00260469,0.00363412,36
