run,t,x_meas,y_meas
16,8,7.91901,7.68074
16,9,8.53668,7.87751
16,10,10.0624,10.0519
16,11,10.6761,10.6616
16,12,11.7015,12.524
16,13,12.3226,12.4708
16,14,13.5301,14.6888
16,15,15.6886,14.3365
16,16,16.2533,16.9067
16,17,17.4837,16.6136
16,18,17.08,18.0709
16,19,19.3299,19.0399
17,0,-0.190513,-0.0328623
17,1,1.42896,1.77218
17,2,2.81247,2.23048
17,3,2.75651,2.86869
17,4,4.66293,4.3809
17,5,4.124,4.75263
17,6,5.28451,6.76485
17,7,7.34992,7.4327
17,8,7.60335,8.56301
17,9,8.93969,8.37485
17,10,10.5747,9.65234
17,11,10.541,11.5767
17,12,11.9908,12.5217
17,13,13.5737,12.7822
17,14,14.1334,13.679
17,15,14.6424,15.6162
17,16,15.2995,16.5646
17,17,16.8302,16.2796
17,18,17.8919,18.8781
17,19,19.3183,19.6154
18,0,-0.226492,0.267111
18,1,0.672841,1.12575
18,2,1.64522,2.44946
18,3,3.27031,2.21397
18,4,4.40226,4.31377
18,5,3.68361,4.70847
18,6,5.43516,4.75912
18,7,6.8272,6.87799
18,8,8.63874,8.08149
18,9,8.87796,9.66749
18,10,9.63197,9.69509
18,11,11.5129,10.6004
18,12,12.465,12.3048
18,13,12.9668,12.4791
18,14,14.2087,14.5474
18,15,14.836,14.8902
18,16,15.956,15.9309
18,17,17.7628,17.419
18,18,17.4002,17.9193
18,19,18.332,18.9153
19,0,-0.391124,0.0345423
19,1,1.40443,2.74857
19,2,2.91831,2.53895
19,3,2.59175,2.33482
19,4,3.51619,4.19357
19,5,5.07785,4.93471
19,6,5.86427,5.42842
19,7,6.34046,6.32006
19,8,8.68607,7.88962
19,9,8.51485,9.40363
19,10,9.32901,10.3378
19,11,12.542,10.8843
19,12,12.4829,12.3141
19,13,12.3586,12.6584
19,14,13.7411,13.2485
19,15,15.1854,14.4472
19,16,16.8793,16.3567
19,17,16.2579,16.4551
19,18,18.7149,17.8665
19,19,18.4622,18.3495
20,0,0.247129,-0.0633425
20,1,1.00219,1.31368
20,2,1.48243,2.82147
20,3,2.8052,3.26
20,4,5.0513,4.00285
20,5,4.74308,5.096
20,6,5.77803,5.77334
20,7,7.4275,7.99142
20,8,7.53117,8.17329
20,9,8.83926,9.19855
20,10,10.1396,9.92865
20,11,10.7459,10.6716
20,12,12.6015,12.3704
20,13,14.5244,12.4811
20,14,14.6434,14.0204
20,15,14.7066,14.5301
20,16,16.13,15.1599
20,17,17.8822,16.6428
20,18,17.3746,17.6888
20,19,19.3294,18.781
21,0,-0.446166,-0.322887
21,1,0.934962,1.12462
21,2,1.71339,2.2127
21,3,2.85735,3.16052
21,4,5.12397,3.77735
21,5,5.38314,5.72125
21,6,5.54756,5.03845
21,7,7.61634,6.84338
21,8,7.99688,8.19726
21,9,9.12109,8.85113
21,10,10.0962,10.482
21,11,10.8304,11.3148
21,12,11.5815,12.118
21,13,12.6429,11.8753
21,14,13.4027,13.9793
21,15,15.2822,14.6716
21,16,16.5437,17.0795
21,17,17.6572,17.6891
21,18,18.1796,18.0774
21,19,20.2032,20.2995
22,0,0.510322,0.117901
22,1,1.06072,1.25832
22,2,1.95965,1.53255
22,3,2.98868,3.337
22,4,3.75235,4.291
22,5,4.95714,4.9747
22,6,4.78807,5.99429
22,7,6.63841,6.83648
22,8,7.42905,7.53715
22,9,9.13151,8.8986
22,10,9.06938,9.63218
22,11,10.6239,10.6604
22,12,12.0162,11.5124
22,13,12.4695,13.2284
22,14,14.6265,13.6258
22,15,15.4268,15.2535
22,16,16.1403,16.0713
22,17,17.0475,17.087
22,18,17.9672,17.8379
22,19,18.9494,19.4833
23,0,-0.510895,0.885778
23,1,2.16296,1.58941
23,2,3.17717,2.03319
23,3,3.26274,2.90709
23,4,4.22815,4.07395
23,5,5.78521,4.99033
23,6,5.73683,5.66795
23,7,7.67258,7.14745
23,8,7.77162,8.33035
23,9,9.08491,9.04403
23,10,9.99833,9.70595
23,11,10.6371,12.1868
23,12,11.805,11.1598
23,13,12.228,12.8264
23,14,13.2735,13.8155
23,15,14.9896,14.2251
23,16,15.421,16.5782
23,17,16.8434,16.899
23,18,17.8416,18.3698
23,19,19.3551,18.9674
24,0,0.156061,0.242903
24,1,0.743902,1.50635
24,2,2.27427,1.94182
24,3,1.24723,3.11361
24,4,4.28162,4.60682
24,5,5.17695,5.20487
24,6,5.72914,6.24796
24,7,7.32268,6.91396
24,8,8.12623,7.93785
24,9,8.37018,9.00426
24,10,10.0482,10.2903
24,11,10.9693,11.7447
24,12,11.8838,10.9987
24,13,13.9293,12.696
24,14,14.0037,14.0014
24,15,14.3382,14.2751
24,16,15.5002,15.5888
24,17,17.5469,17.6172
24,18,18.0765,17.6485
24,19,18.6256,19.1729
25,0,0.00113109,0.863018
25,1,1.79275,1.08764
25,2,2.0971,1.99394
25,3,2.94249,2.15336
25,4,3.48536,4.10048
25,5,5.12413,6.33608
25,6,6.35273,5.15981
25,7,6.96978,7.38547
25,8,7.88072,8.85646
25,9,8.55434,8.20057
25,10,10.4764,10.1679
25,11,11.4529,11.5835
25,12,12.0283,11.2095
25,13,13.3502,12.2169
25,14,13.1684,14.2596
25,15,14.9617,15.0529
25,16,15.5308,15.4609
25,17,17.1653,16.4742
25,18,18.9767,18.1503
25,19,18.3903,20.1729
26,0,-0.431988,-0.200769
26,1,1.37447,1.55101
26,2,1.40853,1.81029
26,3,4.03757,3.37645
26,4,4.00933,4.12263
26,5,4.57946,4.42575
26,6,5.44242,5.96384
26,7,6.69358,7.02689
26,8,9.17035,8.39292
26,9,9.24853,7.70518
26,10,9.80475,10.7396
26,11,10.8839,11.437
26,12,11.9803,11.4733
26,13,13.2778,12.8802
26,14,14.2646,13.4143
26,15,14.6084,15.3766
26,16,15.8715,15.7776
26,17,16.8924,17.5134
26,18,16.9923,17.6389
26,19,18.7899,18.5084
27,0,0.4791,-0.58344
27,1,0.372626,0.373238
